channel,count,std,mean,rms
1,45262,2.6988273643037384,0.19821635086344594,2.7060966102607162
2,44462,2.885330599655865,0.44061785540288817,2.918780012918158
3,45276,2.3529656988789394,0.13292025534906543,2.3567170755911815
4,45672,1.4469203953076863,0.0448353262127089,1.4476148786310565
5,45700,0.4795219456469957,0.017871514061625335,0.4798548607359764
6,45744,0.15752856235399282,0.0006352198961456739,0.15752984308261478
7,52929,0.11603420279762479,0.0021500649409356577,0.11605412098728322
8,84112,0.11362915543792347,0.007189899951947341,0.1138563991475909
9,84122,0.1242098780941416,0.005015079193266936,0.12431108090382417
10,84119,0.1678040669750801,0.0012762595843600758,0.1678089202989674
11,84063,0.20609831023729452,0.0049344418110122325,0.20615737240917775
12,83916,0.25259764753168185,0.0011790454284033073,0.25260039922111327
13,82352,0.358631419062375,-0.01701693121436197,0.35903491569296797
14,83415,0.6214590289702845,-0.08582188340839891,0.6273569321849265
15,83772,1.0779297883385832,-0.9148381735994018,1.4138109889452872
16,40843,3.4015874021960975,0.12291585633857981,3.4038074508583764
17,42105,2.0949495712374997,-0.0925232459163654,2.0969917160216016
18,42368,1.3821771839342785,-0.010803419354404722,1.38221940431261
19,45173,1.368377491943836,0.0239483131097599,1.3685870385764136
20,45107,1.4126293284373275,0.09488016782235158,1.4158120870395723
21,44935,1.4810928233580214,0.134929813972193,1.4872262793876698
22,44728,1.5653715176881486,0.1405545452597037,1.5716690391372394
